date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-03,hits,Shohei Ohtani,shohei ohtani,3.5,0.5899,2
2026-07-03,hits,Spencer Arrighetti,spencer arrighetti,4.5,0.5665,3
2026-07-03,hits,Kyle Harrison,kyle harrison,4.5,0.558,2
2026-07-03,hits,Andre Pallante,andre pallante,5.5,0.5575,1
2026-07-03,hits,Michael King,michael king,4.5,0.5562,2
2026-07-03,hits,Tyler Phillips,tyler phillips,5.5,0.553,3
2026-07-03,hits,Jake Bennett,jake bennett,4.5,0.5518,3
2026-07-03,hits,Gavin Williams,gavin williams,4.5,0.5446,1
2026-07-03,hits,Reid Detmers,reid detmers,4.5,0.5438,3
2026-07-03,hits,Jack Perkins,jack perkins,4.5,0.5362,3
2026-07-03,hits,Nick Martinez,nick martinez,5.5,0.5331,3
2026-07-03,hits,Grant Holmes,grant holmes,4.5,0.5212,3
2026-07-03,hits,Anthony Kay,anthony kay,4.5,0.5203,1
2026-07-03,hits,Foster Griffin,foster griffin,5.5,0.5138,3
2026-07-03,hits,Dylan Cease,dylan cease,3.5,0.5049,3
2026-07-03,hits,Brady Singer,brady singer,5.5,0.5029,3
2026-07-03,hits,Christian Scott,christian scott,4.5,0.4961,3
2026-07-03,hits,Ryan Feltner,ryan feltner,6.5,0.4842,3
2026-07-03,hits,Luis Castillo,luis castillo,5.5,0.4678,3
2026-07-03,hits,Gerrit Cole,gerrit cole,5.5,0.4525,3
2026-07-03,hits,Trevor Rogers,trevor rogers,5.5,0.4525,3
2026-07-03,hits,Mitch Keller,mitch keller,6.5,0.4353,2
2026-07-03,hits,Mike Paredes,mike paredes,5.5,0.426,2
2026-07-03,hits,Jose Cabrera,jose cabrera,5.5,0.4151,2
2026-07-03,ks,Foster Griffin,foster griffin,5.5,0.5915,3
2026-07-03,ks,Gavin Williams,gavin williams,5.5,0.5894,3
2026-07-03,ks,Jose Cabrera,jose cabrera,3.5,0.5835,5
2026-07-03,ks,Mitch Keller,mitch keller,3.5,0.5751,6
2026-07-03,ks,Luis Castillo,luis castillo,4.5,0.5632,6
2026-07-03,ks,Dylan Cease,dylan cease,7.5,0.559,6
2026-07-03,ks,Andre Pallante,andre pallante,3.5,0.5585,6
2026-07-03,ks,Anthony Kay,anthony kay,4.5,0.5541,5
2026-07-03,ks,Reid Detmers,reid detmers,6.5,0.5484,6
2026-07-03,ks,Jake Bennett,jake bennett,4.5,0.5475,6
2026-07-03,ks,Michael King,michael king,4.5,0.5328,6
2026-07-03,ks,Shohei Ohtani,shohei ohtani,6.5,0.5298,6
2026-07-03,ks,Grant Holmes,grant holmes,4.5,0.5209,6
2026-07-03,ks,Christian Scott,christian scott,4.5,0.5021,6
2026-07-03,ks,Gerrit Cole,gerrit cole,5.5,0.4943,6
2026-07-03,ks,Trevor Rogers,trevor rogers,5.5,0.4701,6
2026-07-03,ks,Mike Paredes,mike paredes,3.5,0.4645,6
2026-07-03,ks,Spencer Arrighetti,spencer arrighetti,5.5,0.4583,6
2026-07-03,ks,Jack Perkins,jack perkins,5.5,0.4367,6
2026-07-03,ks,Brady Singer,brady singer,5.5,0.4296,4
2026-07-03,ks,Tyler Phillips,tyler phillips,4.5,0.4272,5
2026-07-03,ks,Ryan Feltner,ryan feltner,3.5,0.4258,6
2026-07-03,ks,Nick Martinez,nick martinez,4.5,0.4165,5
2026-07-03,ks,Kyle Harrison,kyle harrison,5.5,0.4122,5
2026-07-03,outs,Shohei Ohtani,shohei ohtani,17.5,0.6198,4
2026-07-03,outs,Christian Scott,christian scott,14.5,0.5938,4
2026-07-03,outs,Foster Griffin,foster griffin,17.5,0.5813,4
2026-07-03,outs,Jack Perkins,jack perkins,14.5,0.546,4
2026-07-03,outs,Dylan Cease,dylan cease,17.5,0.5436,4
2026-07-03,outs,Grant Holmes,grant holmes,14.5,0.5383,4
2026-07-03,outs,Gavin Williams,gavin williams,17.5,0.5322,3
2026-07-03,outs,Mitch Keller,mitch keller,16.5,0.5246,1
2026-07-03,outs,Spencer Arrighetti,spencer arrighetti,15.5,0.5246,3
2026-07-03,outs,Gerrit Cole,gerrit cole,17.5,0.5153,4
2026-07-03,outs,Kyle Harrison,kyle harrison,16.5,0.5153,4
2026-07-03,outs,Tyler Phillips,tyler phillips,15.5,0.5099,3
2026-07-03,outs,Reid Detmers,reid detmers,17.5,0.4995,4
2026-07-03,outs,Anthony Kay,anthony kay,15.5,0.499,3
2026-07-03,outs,Luis Castillo,luis castillo,17.5,0.497,3
2026-07-03,outs,Mike Paredes,mike paredes,14.5,0.4866,4
2026-07-03,outs,Ryan Feltner,ryan feltner,15.5,0.4844,3
2026-07-03,outs,Nick Martinez,nick martinez,17.5,0.4799,4
2026-07-03,outs,Brady Singer,brady singer,15.5,0.4754,3
2026-07-03,outs,Michael King,michael king,15.5,0.4722,4
2026-07-03,outs,Jake Bennett,jake bennett,15.5,0.4618,4
2026-07-03,outs,Jose Cabrera,jose cabrera,15.5,0.4277,2
2026-07-03,outs,Andre Pallante,andre pallante,17.5,0.4195,2
