date,stat,pitcher,name,book_line,book_p_over,n_books
2026-08-03,hits,Brandon Pfaadt,brandon pfaadt,5.5,0.5752,3
2026-08-03,hits,Logan Webb,logan webb,5.5,0.5322,3
2026-08-03,hits,Andrew Alvarez,andrew alvarez,4.5,0.5299,2
2026-08-03,hits,Cam Schlittler,cam schlittler,4.5,0.504,3
2026-08-03,hits,Michael Lorenzen,michael lorenzen,6.5,0.503,3
2026-08-03,hits,Bubba Chandler,bubba chandler,4.5,0.4931,3
2026-08-03,hits,Matthew Boyd,matthew boyd,5.5,0.4737,3
2026-08-03,hits,Michael McGreevy,michael mcgreevy,5.5,0.4653,3
2026-08-03,hits,Brandon Sproat,brandon sproat,4.5,0.4646,3
2026-08-03,hits,Ian Seymour,ian seymour,5.5,0.4554,3
2026-08-03,hits,Shane Bieber,shane bieber,5.5,0.4539,3
2026-08-03,hits,Aaron Nola,aaron nola,5.5,0.4518,3
2026-08-03,hits,Cristian Javier,cristian javier,4.5,0.4335,3
2026-08-03,hits,Michael King,michael king,5.5,0.4248,3
2026-08-03,ks,Logan Webb,logan webb,4.5,0.5784,4
2026-08-03,ks,Cristian Javier,cristian javier,3.5,0.5715,5
2026-08-03,ks,Bubba Chandler,bubba chandler,4.5,0.5704,5
2026-08-03,ks,Cam Schlittler,cam schlittler,6.5,0.5639,4
2026-08-03,ks,Ian Seymour,ian seymour,4.5,0.563,6
2026-08-03,ks,Matthew Boyd,matthew boyd,4.5,0.5453,6
2026-08-03,ks,Michael King,michael king,4.5,0.4707,6
2026-08-03,ks,Brandon Sproat,brandon sproat,5.5,0.4677,5
2026-08-03,ks,Aaron Nola,aaron nola,5.5,0.4549,6
2026-08-03,ks,Andrew Alvarez,andrew alvarez,4.5,0.4537,5
2026-08-03,ks,Michael McGreevy,michael mcgreevy,4.5,0.4235,4
2026-08-03,ks,Shane Bieber,shane bieber,4.5,0.4133,5
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,4.5,0.4085,3
2026-08-03,ks,Michael Lorenzen,michael lorenzen,3.5,0.4069,6
2026-08-03,outs,Ian Seymour,ian seymour,14.5,0.6069,4
2026-08-03,outs,Cristian Javier,cristian javier,14.5,0.5735,3
2026-08-03,outs,Brandon Pfaadt,brandon pfaadt,16.5,0.5419,3
2026-08-03,outs,Matthew Boyd,matthew boyd,17.5,0.5387,5
2026-08-03,outs,Michael Lorenzen,michael lorenzen,14.5,0.5292,4
2026-08-03,outs,Aaron Nola,aaron nola,16.5,0.5258,4
2026-08-03,outs,Michael McGreevy,michael mcgreevy,16.5,0.5138,3
2026-08-03,outs,Michael King,michael king,17.5,0.5049,5
2026-08-03,outs,Andrew Alvarez,andrew alvarez,14.5,0.4547,2
2026-08-03,outs,Logan Webb,logan webb,18.5,0.4353,5
2026-08-03,outs,Brandon Sproat,brandon sproat,15.5,0.4341,5
2026-08-03,outs,Shane Bieber,shane bieber,15.5,0.4323,5
2026-08-03,outs,Bubba Chandler,bubba chandler,15.5,0.4231,5
2026-08-03,outs,Cam Schlittler,cam schlittler,18.5,0.3981,4
